developer,count,min_total_sales,max_total_sales,total_sales_sum,total_sales_mean,total_sales_median
Psygnosis Camden Studio,1,0.1,0.1,0.1,0.1,0.1
Psyonix Studios,5,0.06,2.02,3.98,0.796,0.4
Pterodon,1,0.0,0.0,0.0,0.0,0.0
Pukka Games,1,0.04,0.04,0.04,0.04,0.04
Pumpkin Studios,1,5.01,5.01,5.01,5.01,5.01
Punchline / Shirogumi,1,0.02,0.02,0.02,0.02,0.02
Pure Entertainment,2,0.02,0.04,0.06,0.03,0.03
PuzzleKings,2,0.02,0.05,0.07,0.035,0.035
Pyramid,4,0.01,0.69,1.01,0.2525,0.155
Pyramid/JAPAN Studio,3,0.11,0.82,1.21,0.4033333333333333,0.28
Pyro Studios,10,0.02,0.2,0.85,0.08499999999999999,0.065
PyroTechnix,1,0.0,0.0,0.0,0.0,0.0
Q Entertainment,9,0.04,0.44,1.77,0.19666666666666666,0.22
Q Entertainment / Phantagram,1,0.3,0.3,0.3,0.3,0.3
Q Entertainment / Phantagram / FeelPlus,1,0.17,0.17,0.17,0.17,0.17
Q-Games,1,0.12,0.12,0.12,0.12,0.12
QLOC,2,0.15,0.31,0.45999999999999996,0.22999999999999998,0.22999999999999998
Quadriga Games,2,0.02,0.1,0.12000000000000001,0.060000000000000005,0.060000000000000005
Quantic Dream,5,0.02,0.28,0.5900000000000001,0.11800000000000002,0.1
Quantum Factory,1,0.36,0.36,0.36,0.36,0.36
Quazar Studio,1,0.0,0.0,0.0,0.0,0.0
Quebec City,2,0.24,0.37,0.61,0.305,0.305
Quest Corporation,5,0.08,0.71,1.9,0.38,0.41
Quickdraw Developments Ltd.,1,0.08,0.08,0.08,0.08,0.08
"Quicksilver Software, Inc.",2,0.03,0.06,0.09,0.045,0.045
QuinRose,19,0.01,0.03,0.29,0.015263157894736841,0.01
Quintet,3,0.02,0.13,0.24,0.08,0.09
Qute Corporation,1,0.01,0.01,0.01,0.01,0.01
RED Company,3,0.03,0.26,0.41000000000000003,0.1366666666666667,0.12
RED Entertainment,21,0.01,0.89,2.83,0.13476190476190478,0.04
RFX Interactive,2,0.11,0.12,0.22999999999999998,0.11499999999999999,0.11499999999999999
RIZ Inc.,1,0.02,0.02,0.02,0.02,0.02
ROIGAMES Inc.,1,0.02,0.02,0.02,0.02,0.02
Racdym,4,0.03,0.2,0.4,0.1,0.08499999999999999
Racjin,5,0.05,0.56,0.8400000000000001,0.168,0.08
Radical Entertainment,47,0.0,4.7,26.57,0.5653191489361702,0.25
Radius9,1,0.06,0.06,0.06,0.06,0.06
Radon Labs GmbH,3,0.04,0.38,0.48,0.16,0.06
Rage Software,13,0.0,0.86,1.81,0.13923076923076924,0.08
RailSimulator.com,2,0.0,0.01,0.01,0.005,0.005
Rain Games,4,0.0,0.01,0.01,0.0025,0.0
Rainbow Studio,1,0.24,0.24,0.24,0.24,0.24
Rainbow Studios,51,0.01,2.41,25.28,0.49568627450980396,0.4
Rare Ltd.,20,0.02,2.33,12.98,0.649,0.665
Raster Productions,2,0.3,0.53,0.8300000000000001,0.41500000000000004,0.41500000000000004
Ratbag,4,0.08,0.48,0.97,0.2425,0.20500000000000002
Raven Software,25,0.0,2.5,12.09,0.4836,0.32
Ravenscourt,5,0.01,0.03,0.11,0.022,0.03
Rayark Inc.,1,0.0,0.0,0.0,0.0,0.0
Raylight Studios,8,0.0,0.05,0.21,0.02625,0.03
Razorback Developments,6,0.01,0.11,0.39,0.065,0.07
Razorworks Studios,15,0.0,1.0,2.52,0.168,0.09
Re-Logic,4,0.04,0.12,0.27,0.0675,0.05500000000000001
React Games,1,0.03,0.03,0.03,0.03,0.03
Ready at Dawn,4,0.01,1.62,1.7400000000000002,0.43500000000000005,0.055
ReadySoft,1,0.02,0.02,0.02,0.02,0.02
Realism Ltd,1,0.72,0.72,0.72,0.72,0.72
Reality Pump,5,0.0,0.7,1.73,0.346,0.47
Reality Pump Studios,3,0.0,0.01,0.01,0.0033333333333333335,0.0
Realmforge Studios,6,0.0,0.04,0.1,0.016666666666666666,0.02
Realtime Associates,13,0.03,0.78,2.93,0.2253846153846154,0.18
"Realtime Associates, Inc.",1,0.08,0.08,0.08,0.08,0.08
Realtime Worlds,1,0.04,0.04,0.04,0.04,0.04
Rebellion Developments,51,0.0,1.72,14.67,0.2876470588235294,0.09
Rebellion Games,1,0.01,0.01,0.01,0.01,0.01
Recom,2,0.0,0.01,0.01,0.005,0.005
Red Barrels,2,0.13,0.22,0.35,0.175,0.175
Red Fly Studio,7,0.11,0.87,2.36,0.33714285714285713,0.18
Red Hook Studios,2,0.03,0.04,0.07,0.035,0.035
Red Line Studios,1,1.53,1.53,1.53,1.53,1.53
Red Storm Entertainment,17,0.0,1.94,10.02,0.5894117647058823,0.35
Red Storm Entertainment / Ubisoft Paris,1,1.03,1.03,1.03,1.03,1.03
Red Tribe,7,0.06,0.38,1.07,0.15285714285714286,0.11
Red Wagon,2,0.01,0.05,0.060000000000000005,0.030000000000000002,0.030000000000000002
Red Zone Entertainment,3,0.38,1.8,2.58,0.86,0.4
RedLynx,3,0.06,0.33,0.64,0.21333333333333335,0.25
"RedLynx, Ltd.",1,0.03,0.03,0.03,0.03,0.03
RedTribe Studios,1,0.06,0.06,0.06,0.06,0.06
Reef Entertainment,1,0.11,0.11,0.11,0.11,0.11
Reflections Interactive,12,0.0,6.27,15.06,1.2550000000000001,0.21000000000000002
Regista,5,0.01,0.04,0.1,0.02,0.02
Rejet,9,0.0,0.05,0.21,0.02333333333333333,0.02
Rekoo,1,0.25,0.25,0.25,0.25,0.25
Related Designs,1,0.37,0.37,0.37,0.37,0.37
Relentless Software,13,0.0,1.61,7.25,0.5576923076923077,0.33
Relic,9,0.0,0.47,0.9,0.1,0.04
Relic Entertainment,4,0.04,0.56,1.1300000000000001,0.28250000000000003,0.265
Reloaded Productions,1,0.04,0.04,0.04,0.04,0.04
Remedy Entertainment,8,0.02,3.31,7.45,0.93125,0.7
Renegade Kid,4,0.05,0.17,0.41000000000000003,0.10250000000000001,0.095
Replay Games,1,0.0,0.0,0.0,0.0,0.0
Replay Studios,2,0.0,0.18,0.18,0.09,0.09
Respawn Entertainment,6,0.2,3.11,8.37,1.3949999999999998,1.375
Retro Studios,3,0.0,0.61,0.63,0.21,0.02
Reverie World Studios Inc.,1,0.01,0.01,0.01,0.01,0.01
Revolution (Japan),1,0.02,0.02,0.02,0.02,0.02
Revolution Software,10,0.0,0.24,0.66,0.066,0.04
Revolution Software Ltd.,2,0.03,0.06,0.09,0.045,0.045
Revolution Studios / Gamerholix,1,0.0,0.0,0.0,0.0,0.0
Rhino Studios,3,0.02,0.22,0.26,0.08666666666666667,0.02
Ricotta,1,0.02,0.02,0.02,0.02,0.02
Ride On,2,0.01,0.02,0.03,0.015,0.015
"Rideon Japan, Inc.",1,0.01,0.01,0.01,0.01,0.01
Rising Star Games,10,0.0,0.24,0.55,0.05500000000000001,0.045
Rivage Games,1,0.2,0.2,0.2,0.2,0.2
Riverhillsoft,3,0.04,0.32,0.43,0.14333333333333334,0.07
Rize Dragon,1,0.0,0.0,0.0,0.0,0.0
Robomodo,6,0.07,0.29,1.07,0.17833333333333334,0.185
Robomodo / Buzz Monkey Software,2,0.61,0.61,1.22,0.61,0.61
RockNanoGlobal,1,0.02,0.02,0.02,0.02,0.02
Rocket Company,17,0.0,1.29,2.14,0.12588235294117647,0.04
Rocket Studios,1,0.03,0.03,0.03,0.03,0.03
Rockpool Games,1,0.0,0.0,0.0,0.0,0.0
Rockstar Games,2,5.77,13.94,19.71,9.855,9.855
Rockstar Leeds,10,0.0,7.72,22.2,2.2199999999999998,1.025
Rockstar Leeds/North,1,1.33,1.33,1.33,1.33,1.33
Rockstar London,3,0.31,0.99,1.86,0.62,0.56
Rockstar North,22,0.0,20.32,116.91,5.3140909090909085,1.835
Rockstar San Diego,22,0.0,6.57,33.38,1.5172727272727273,1.17
Rockstar Toronto,6,0.28,0.87,3.25,0.5416666666666666,0.53
Rockstar Toronto / Leeds,1,0.28,0.28,0.28,0.28,0.28
Rockstar Vancouver,2,1.63,1.86,3.49,1.745,1.745
Rockstar Vancouver/Mad Doc Software,2,0.03,1.09,1.12,0.56,0.56
Rocksteady Studios,12,0.02,5.54,25.48,2.1233333333333335,1.11
Rodeo Games,1,0.02,0.02,0.02,0.02,0.02
Rokumendo,1,0.03,0.03,0.03,0.03,0.03
Roll7,1,0.03,0.03,0.03,0.03,0.03
Ronin Entertainment,1,0.31,0.31,0.31,0.31,0.31
Route 1 Games,8,0.0,0.99,1.15,0.14375,0.025
Route24,1,0.0,0.0,0.0,0.0,0.0
Rovio Mobile,4,0.09,0.26,0.75,0.1875,0.2
Roxor Games,1,0.07,0.07,0.07,0.07,0.07
Ruby Party,4,0.01,0.03,0.07,0.0175,0.015
Ruffian Games,1,1.12,1.12,1.12,1.12,1.12
Rumic Soft,1,0.11,0.11,0.11,0.11,0.11
Runecraft,18,0.0,0.87,4.44,0.2466666666666667,0.14
Runic Games,1,0.07,0.07,0.07,0.07,0.07
Runtime,2,0.06,0.82,0.8799999999999999,0.43999999999999995,0.43999999999999995
Rusell,1,0.01,0.01,0.01,0.01,0.01
Russel,8,0.0,0.03,0.11,0.01375,0.01
Rutubo Games,1,0.21,0.21,0.21,0.21,0.21
S-Neo,3,0.07,0.19,0.35,0.11666666666666665,0.09
SAS Sakata,2,0.05,0.08,0.13,0.065,0.065
SCE,2,0.4,0.5,0.9,0.45,0.45
SCE Japan Studio,21,0.01,1.63,6.39,0.30428571428571427,0.2
SCE San Diego Studio,31,0.02,3.88,16.23,0.5235483870967742,0.33
SCEA,6,0.04,1.4,2.4699999999999998,0.4116666666666666,0.28
SCEA Bend Studio,7,0.06,0.9,3.2800000000000002,0.4685714285714286,0.46
SCEA Bend Studio / Naughty Dog,1,1.62,1.62,1.62,1.62,1.62
SCEA San Diego Studio / Zindagi Games,1,0.0,0.0,0.0,0.0,0.0
SCEA San Diego Studios,12,0.08,0.94,4.6499999999999995,0.38749999999999996,0.33999999999999997
SCEA Santa Monica Studio,4,0.12,0.89,1.57,0.3925,0.28
SCEE,3,0.0,0.82,1.2,0.39999999999999997,0.38
SCEE Cambridge,6,0.09,2.61,4.52,0.7533333333333333,0.365
SCEE London Studio,59,0.0,1.86,27.8,0.4711864406779661,0.28
SCEE London Studio / Zoe Mode,1,0.65,0.65,0.65,0.65,0.65
SCEI,12,0.01,1.86,3.1100000000000003,0.2591666666666667,0.065
SCS Software,12,0.0,0.75,1.95,0.1625,0.03
SCi,1,0.01,0.01,0.01,0.01,0.01
SEK Ost,1,0.02,0.02,0.02,0.02,0.02
SFB Games,1,0.12,0.12,0.12,0.12,0.12
SIE Japan Studio,7,0.01,1.29,2.87,0.41000000000000003,0.35
SIE London Studio,2,0.23,2.16,2.39,1.195,1.195
SIE San Diego Studio,2,1.06,1.16,2.2199999999999998,1.1099999999999999,1.1099999999999999
SIMS,9,0.01,0.7,2.03,0.22555555555555554,0.17
SKONEC Entertainment,1,0.07,0.07,0.07,0.07,0.07
SME Dynamic Systems Limited,1,0.19,0.19,0.19,0.19,0.19
SNK Corporation,34,0.01,0.45,4.3500000000000005,0.12794117647058825,0.1
SNK Playmore,1,0.34,0.34,0.34,0.34,0.34
SNK Playmore Corporation,43,0.0,0.33,3.52,0.08186046511627908,0.04
SO! Games Ltd,1,0.0,0.0,0.0,0.0,0.0
SSI,1,0.19,0.19,0.19,0.19,0.19
SVG Distribution,1,0.15,0.15,0.15,0.15,0.15
Sabarasa Entertainment,1,0.04,0.04,0.04,0.04,0.04
Saber Interactive,14,0.01,0.41,1.6400000000000001,0.11714285714285715,0.07500000000000001
Sacnoth,2,0.08,0.28,0.36000000000000004,0.18000000000000002,0.18000000000000002
Saffire Corporation,19,0.02,0.66,4.17,0.21947368421052632,0.14
Salu Ltd.,1,0.21,0.21,0.21,0.21,0.21
Sammy Corporation,1,0.19,0.19,0.19,0.19,0.19
Sammy Studios,11,0.01,0.28,0.9,0.08181818181818182,0.05
Sand Grain Studios,18,0.04,1.42,6.77,0.37611111111111106,0.265
"Sand Grain Studios, Magic Wand Productions, FUN Labs",1,0.05,0.05,0.05,0.05,0.05
Sandblast Games,2,0.09,0.13,0.22,0.11,0.11
Sandbox,1,0.06,0.06,0.06,0.06,0.06
Sandlot,13,0.02,0.36,1.39,0.10692307692307691,0.08
Sandlot Games,5,0.0,0.09,0.15,0.03,0.03
Sandlot Games / Digital Embryo,1,0.14,0.14,0.14,0.14,0.14
Sankyo,1,0.02,0.02,0.02,0.02,0.02
Sanrio Digital,1,0.23,0.23,0.23,0.23,0.23
Santa Cruz Games,4,0.04,0.19,0.39,0.0975,0.08
Santaclaus,1,0.04,0.04,0.04,0.04,0.04
Sanuk Games,4,0.0,1.03,1.31,0.3275,0.14
"Sanuk Software Co., Ltd.",1,0.02,0.02,0.02,0.02,0.02
Sanzaru Games,8,0.1,0.69,2.9,0.3625,0.28
Sarbakan,1,0.06,0.06,0.06,0.06,0.06
Sarbakan Inc.,1,0.2,0.2,0.2,0.2,0.2
Saru Brunei / Intelligent Systems,1,0.17,0.17,0.17,0.17,0.17
Saurus,1,0.02,0.02,0.02,0.02,0.02
Savage Entertainment,5,0.25,1.22,3.3,0.6599999999999999,0.65
Scarab,2,0.01,0.05,0.060000000000000005,0.030000000000000002,0.030000000000000002
Scholastic Inc.,1,0.06,0.06,0.06,0.06,0.06
Scholastic Interactive,1,0.48,0.48,0.48,0.48,0.48
Scholastic Media,2,0.19,0.21,0.4,0.2,0.2
Scientifically Proven,3,0.08,0.1,0.26,0.08666666666666667,0.08
Scitron & Art,1,0.03,0.03,0.03,0.03,0.03
Screenlife Games,4,0.13,0.19,0.6000000000000001,0.15000000000000002,0.14
Sculptured Software,7,0.06,1.93,6.14,0.8771428571428571,0.92
"Sculptured Software, Inc.",1,0.62,0.62,0.62,0.62,0.62
SeaWolf,1,0.0,0.0,0.0,0.0,0.0
"Seamless Entertainment, Inc.",1,0.1,0.1,0.1,0.1,0.1
Secret Level,12,0.02,0.68,4.37,0.3641666666666667,0.375
"Seed Studios, Lda",1,0.03,0.03,0.03,0.03,0.03
Sega,155,0.0,5.1,45.21,0.2916774193548387,0.11
Sega CS3,2,0.02,0.03,0.05,0.025,0.025
Sega Europe,1,0.02,0.02,0.02,0.02,0.02
Sega Falcom,1,0.08,0.08,0.08,0.08,0.08
Sega Racing Studio,3,0.01,0.63,1.09,0.36333333333333334,0.45
Sega Rosso,2,0.1,0.27,0.37,0.185,0.185
Sega Sports R&D,2,0.49,0.8,1.29,0.645,0.645
Sega Studios Australia,2,0.57,0.66,1.23,0.615,0.615
"Sega Studios, San Francisco",5,0.27,0.39,1.71,0.34199999999999997,0.34
Sega WOW Overworks,3,0.21,0.54,0.99,0.33,0.24
Sega-AM1,1,0.09,0.09,0.09,0.09,0.09
Sega-AM2,29,0.04,1.93,10.21,0.35206896551724143,0.23
Sega-AM3,5,0.14,1.16,3.1799999999999997,0.6359999999999999,0.42
Sega-AM7,1,0.09,0.09,0.09,0.09,0.09
Seibu Kaihatsu Inc.,1,0.23,0.23,0.23,0.23,0.23
Sennari Interactive,3,0.17,0.34,0.6900000000000001,0.23,0.18
Sensory Sweep,6,0.06,0.28,0.74,0.12333333333333334,0.1
Sensory Sweep Studios,16,0.0,0.43,1.79,0.111875,0.07500000000000001
Seta Corporation,10,0.03,0.28,1.08,0.10800000000000001,0.08
Seven45 Studios,2,0.12,0.14,0.26,0.13,0.13
SevenOne Intermedia,1,0.03,0.03,0.03,0.03,0.03
SevenOne Intermedia GmbH,2,0.02,0.02,0.04,0.02,0.02
Shaba Games,11,0.05,0.87,4.31,0.3918181818181818,0.44
Shaba Games / Treyarch,5,0.02,0.4,1.1400000000000001,0.22800000000000004,0.25
Shade,7,0.01,0.31,0.64,0.09142857142857143,0.06
Shadow Tor Studios,1,0.0,0.0,0.0,0.0,0.0
ShanBlue,1,0.02,0.02,0.02,0.02,0.02
Shar Rock,1,0.02,0.02,0.02,0.02,0.02
Shen Studios,2,0.02,0.04,0.06,0.03,0.03
Shift,7,0.0,1.26,2.27,0.3242857142857143,0.14
Shin'en,5,0.0,0.13,0.28,0.05600000000000001,0.02
Shin'en GmbH,4,0.05,0.46,0.7000000000000001,0.17500000000000002,0.095
Shin'en Multimedia,1,0.08,0.08,0.08,0.08,0.08
Shiny Entertainment,19,0.0,3.18,8.91,0.4689473684210526,0.31
Shiver Games,6,0.04,0.07,0.29000000000000004,0.04833333333333334,0.045
Shockwave Productions,1,0.01,0.01,0.01,0.01,0.01
Shoeisha,1,0.06,0.06,0.06,0.06,0.06
Shogakukan,1,0.56,0.56,0.56,0.56,0.56
Shogakukan Production,2,0.05,0.06,0.11,0.055,0.055
Sick Puppies,2,0.0,0.14,0.14,0.07,0.07
Sidhe Interactive,14,0.04,0.49,3.25,0.23214285714285715,0.235
Sierra Entertainment,3,0.0,0.07,0.07,0.023333333333333334,0.0
Sigil Games Online/Sony Online Entertainment,1,0.0,0.0,0.0,0.0,0.0
Signal Studios,2,0.08,0.09,0.16999999999999998,0.08499999999999999,0.08499999999999999
Silent Software Inc.,1,0.09,0.09,0.09,0.09,0.09
Silicon & Synapse,1,0.01,0.01,0.01,0.01,0.01
Silicon Dreams,9,0.0,0.18,0.71,0.07888888888888888,0.08
Silicon Knights,5,0.1,0.78,1.8,0.36,0.24
Silicon Studio,5,0.01,0.1,0.22,0.044,0.02
Silver Wish Games,1,0.06,0.06,0.06,0.06,0.06
SilverBirch Studios,3,0.03,0.08,0.18,0.06,0.07
SilverStar Japan,1,0.0,0.0,0.0,0.0,0.0
SimBin,5,0.0,0.17,0.25,0.05,0.03
Simon & Schuster Interactive,1,0.03,0.03,0.03,0.03,0.03
Single Trac,1,0.06,0.06,0.06,0.06,0.06
SingleTrac,8,0.15,2.44,8.99,1.12375,1.01
Sinister Games,2,0.05,0.3,0.35,0.175,0.175
"Sir-tech Software, Inc.",1,0.0,0.0,0.0,0.0,0.0
Sirius Games,2,0.0,0.01,0.01,0.005,0.005
Sirius Software,1,0.0,0.0,0.0,0.0,0.0
Six by Nine,1,0.01,0.01,0.01,0.01,0.01
Sixteen Tons Entertainment,2,0.0,0.03,0.03,0.015,0.015
Ska Studios,1,0.03,0.03,0.03,0.03,0.03
Sky Fallen / 1C,1,0.0,0.0,0.0,0.0,0.0
SkyFallen Entertainment,1,0.0,0.0,0.0,0.0,0.0
SkyRiver Studios,1,0.02,0.02,0.02,0.02,0.02
Skyworks Technologies,11,0.0,0.93,2.45,0.22272727272727275,0.04
Slam Games,2,0.07,0.13,0.2,0.1,0.1
Slant Six,1,0.36,0.36,0.36,0.36,0.36
Slant Six Games,5,0.04,1.26,3.7,0.74,0.77
Sledgehammer Games,6,0.19,13.4,32.99,5.498333333333334,5.725
Slightly Mad Studios,14,0.04,2.65,9.33,0.6664285714285715,0.425
Slippery Snake Studios,1,0.09,0.09,0.09,0.09,0.09
Slitherine Soft,1,0.0,0.0,0.0,0.0,0.0
Slitherine Software,3,0.0,0.13,0.17,0.05666666666666667,0.04
Slitherine Studios,1,0.0,0.0,0.0,0.0,0.0
Smack Down Productions,1,0.08,0.08,0.08,0.08,0.08
Smack Down Productions SARL,1,0.07,0.07,0.07,0.07,0.07
Smackdown Productions,2,0.12,0.25,0.37,0.185,0.185
Small Rockets,1,0.02,0.02,0.02,0.02,0.02
Smart Bomb Interactive,5,0.02,0.33,0.52,0.10400000000000001,0.05
Smart Dog,1,0.05,0.05,0.05,0.05,0.05
SmartDog,1,0.05,0.05,0.05,0.05,0.05
Smilebit,13,0.05,0.55,3.48,0.2676923076923077,0.23
Snail Games USA,1,0.05,0.05,0.05,0.05,0.05
SnapDragon Games,1,0.04,0.04,0.04,0.04,0.04
Sniper Studios,1,0.48,0.48,0.48,0.48,0.48
Snowberry Connection and Sich Studio,1,0.0,0.0,0.0,0.0,0.0
Snowblind Studios,11,0.06,1.28,6.0,0.5454545454545454,0.29
Societa,1,0.04,0.04,0.04,0.04,0.04
Societe Pollene,1,0.01,0.01,0.01,0.01,0.01
SoftMax,3,0.03,0.3,0.55,0.18333333333333335,0.22
Software Creations,7,0.05,0.46,1.68,0.24,0.19
Sogoplay,1,0.0,0.0,0.0,0.0,0.0
SolWorks,2,0.23,0.31,0.54,0.27,0.27
Soliton,1,0.07,0.07,0.07,0.07,0.07
Solutions 2 Go,1,0.06,0.06,0.06,0.06,0.06
SomaSim,3,0.01,0.02,0.05,0.016666666666666666,0.02
Sonalysts,1,0.0,0.0,0.0,0.0,0.0
Sonalysts Combat Simulations,1,0.01,0.01,0.01,0.01,0.01
Sonic Powered,3,0.05,0.07,0.18,0.06,0.06
Sonic Team,60,0.0,2.42,26.4,0.44,0.175
Sonic Team/Dimps Corporation,1,0.76,0.76,0.76,0.76,0.76
Sonnet,1,0.02,0.02,0.02,0.02,0.02
Sonnori,1,0.03,0.03,0.03,0.03,0.03
Sony Computer Entertainment,19,0.01,1.22,3.01,0.15842105263157893,0.07
Sony Computer Entertainment America,29,0.11,1.69,16.83,0.5803448275862069,0.46
Sony Computer Entertainment Japan,3,0.01,0.11,0.19,0.06333333333333334,0.07
Sony Interactive Studios America,5,0.29,0.86,2.62,0.524,0.38
Sony Marketing,1,0.01,0.01,0.01,0.01,0.01
Sony Music Entertainment Inc.,1,0.14,0.14,0.14,0.14,0.14
Sony Online Entertainment,9,0.0,1.09,2.46,0.2733333333333333,0.19
"Sound Source Interactive, Inc.",1,0.18,0.18,0.18,0.18,0.18
SouthPeak Games,1,0.0,0.0,0.0,0.0,0.0
Southend Interactive,2,0.06,0.25,0.31,0.155,0.155
Spark Unlimited,10,0.0,2.89,5.37,0.537,0.22499999999999998
Sparkworkz,1,0.07,0.07,0.07,0.07,0.07
Spellbound,4,0.0,0.03,0.03,0.0075,0.0
Spellbound Entertainment,1,0.02,0.02,0.02,0.02,0.02
Spellbound Entertainment AG,4,0.0,0.18,0.32,0.08,0.07
Spicy Horse,3,0.12,0.59,1.21,0.4033333333333333,0.5
SpiderMonk,2,0.06,0.07,0.13,0.065,0.065
SpiderMonk Ent.,1,0.0,0.0,0.0,0.0,0.0
Spiders,5,0.01,0.21,0.37,0.074,0.05
Spike,33,0.0,0.83,6.59,0.1996969696969697,0.08
Spike / Bandai Namco Games,1,1.03,1.03,1.03,1.03,1.03
Spike / DreamFactory Ltd.,1,0.03,0.03,0.03,0.03,0.03
Spike Chunsoft,32,0.0,0.65,4.53,0.1415625,0.1
Spike Co.,4,0.01,0.46,0.88,0.22,0.20500000000000002
SpinTop Games,3,0.0,0.0,0.0,0.0,0.0
Spiral House,4,0.0,0.1,0.15,0.0375,0.025
Splash Damage,4,0.02,1.04,1.97,0.4925,0.45499999999999996
Sports Director Limited,1,0.1,0.1,0.1,0.1,0.1
Sports Interactive,23,0.0,1.26,7.62,0.331304347826087,0.11
Sprite,3,0.0,0.05,0.08,0.02666666666666667,0.03
Sproing,1,0.06,0.06,0.06,0.06,0.06
Sproing Interactive Media,3,0.0,0.5,0.53,0.17666666666666667,0.03
Sproing Interactive Media / Deep Silver Vienna,1,0.21,0.21,0.21,0.21,0.21
Sproing Interactive Media GMBH,4,0.02,0.12,0.27999999999999997,0.06999999999999999,0.06999999999999999
Square,3,0.28,0.76,1.42,0.47333333333333333,0.38
Square Enix,105,0.0,5.35,44.3,0.4219047619047619,0.17
Square Enix / Bones,1,0.02,0.02,0.02,0.02,0.02
SquareSoft,28,0.05,1.14,13.01,0.46464285714285714,0.38
Squashy Software,1,0.02,0.02,0.02,0.02,0.02
Stage Clear Studios,1,0.01,0.01,0.01,0.01,0.01
Stainless Games,5,0.02,0.25,0.48,0.096,0.09
Stainless Steel Studios,1,0.0,0.0,0.0,0.0,0.0
Stalker Entertainment,1,0.17,0.17,0.17,0.17,0.17
Starbreeze,2,0.44,0.66,1.1,0.55,0.55
Starbreeze Studios,3,0.05,0.15,0.34,0.11333333333333334,0.14
Starbreeze Studios AB,3,0.01,0.29,0.5499999999999999,0.18333333333333332,0.25
Starbreeze Studios/Tigon Studios,1,0.45,0.45,0.45,0.45,0.45
Stardock,1,0.0,0.0,0.0,0.0,0.0
Starfish,11,0.0,0.22,0.9,0.08181818181818182,0.07
Starfish  Inc.,1,0.25,0.25,0.25,0.25,0.25
Starfish Inc.,9,0.0,0.34,0.64,0.07111111111111111,0.03
Starfish SD,10,0.0,0.06,0.19,0.019,0.02
Starpath Corp.,1,0.33,0.33,0.33,0.33,0.33
Starsphere Interactive,3,0.04,0.15,0.29,0.09666666666666666,0.1
"Starsphere Interactive, Inc.",1,0.4,0.4,0.4,0.4,0.4
Stealth Studios,2,0.06,0.22,0.28,0.14,0.14
Steel Monkeys,4,0.09,1.33,2.23,0.5575,0.40499999999999997
Stellar Entertainment,2,0.11,0.37,0.48,0.24,0.24
Stern Electronics,1,0.73,0.73,0.73,0.73,0.73
Sting,22,0.0,0.2,1.94,0.08818181818181818,0.09
Stoic Studio,3,0.01,0.07,0.13,0.043333333333333335,0.05
Storm City Games,14,0.01,0.53,1.45,0.10357142857142856,0.035
Stormfront Studios,22,0.0,4.67,16.41,0.745909090909091,0.53
Stormregion,5,0.0,0.14,0.19,0.038,0.01
Strangelite,1,0.02,0.02,0.02,0.02,0.02
Strategy First / Cypron Studios,1,0.0,0.0,0.0,0.0,0.0
Strawdog Studios Ltd.,1,0.02,0.02,0.02,0.02,0.02
Strawdogs Studios Limited,1,0.31,0.31,0.31,0.31,0.31
Streko-Graphics Inc.,1,0.0,0.0,0.0,0.0,0.0
Studio 33,2,0.13,0.14,0.27,0.135,0.135
Studio Archcraft,1,0.05,0.05,0.05,0.05,0.05
Studio E,1,0.28,0.28,0.28,0.28,0.28
Studio Fizbin,2,0.02,0.02,0.04,0.02,0.02
Studio Gigante,2,0.27,0.45,0.72,0.36,0.36
Studio Liverpool,9,0.04,1.04,3.46,0.3844444444444444,0.32
Studio Pixel,1,0.15,0.15,0.15,0.15,0.15
Studio Saizensen,8,0.01,0.2,0.38,0.0475,0.03
Studio Wildcard,1,0.08,0.08,0.08,0.08,0.08
Success,24,0.0,0.16,0.79,0.03291666666666667,0.015
Sucker Punch,4,0.12,1.81,3.9699999999999998,0.9924999999999999,1.02
Sucker Punch Productions,3,0.03,1.87,1.9700000000000002,0.6566666666666667,0.07
Sugar & Rockets,4,0.09,0.37,0.9099999999999999,0.22749999999999998,0.22499999999999998
Sukeban Games,1,0.01,0.01,0.01,0.01,0.01
Sumo Digital,39,0.0,2.89,17.25,0.4423076923076923,0.33
SunSoft,9,0.02,0.33,1.37,0.15222222222222223,0.14
Sunflower Studios,1,0.13,0.13,0.13,0.13,0.13
Sunflowers Interactive,2,0.11,0.19,0.3,0.15,0.15
Sunrise Games Ltd.,1,0.2,0.2,0.2,0.2,0.2
Sunrise Interactive,4,0.0,0.43,0.46,0.115,0.015
Super Empire,2,0.0,0.03,0.03,0.015,0.015
Super X Studios,4,0.04,0.21,0.5,0.125,0.125
SuperBot Entertainment,1,0.99,0.99,0.99,0.99,0.99
SuperVillain Studios,6,0.01,0.64,1.23,0.205,0.14500000000000002
Supergonk,2,0.01,0.02,0.03,0.015,0.015
Supermassive Games Ltd.,7,0.0,0.85,2.56,0.3657142857142857,0.27
Supersonic Software,14,0.01,1.01,2.4,0.17142857142857143,0.035
Surreal Software,7,0.0,1.2,2.36,0.33714285714285713,0.22
Survios,1,0.19,0.19,0.19,0.19,0.19
Sushi Typhoon Games,1,0.02,0.02,0.02,0.02,0.02
Suzak,6,0.0,0.65,0.9,0.15,0.04
Sweets,1,0.03,0.03,0.03,0.03,0.03
Swingin' Ape Studios,2,0.1,0.17,0.27,0.135,0.135
Swordfish Studios,4,0.11,0.21,0.62,0.155,0.15
