developer,count,min_total_sales,max_total_sales,total_sales_sum,total_sales_mean,total_sales_median
Koolhaus Games,3,0.09,0.11,0.3,0.09999999999999999,0.1
Kouyousha,1,0.44,0.44,0.44,0.44,0.44
Krisalis Software,3,0.01,0.09,0.16,0.05333333333333334,0.06
Krome Studios,42,0.02,1.86,15.75,0.375,0.195
Krome Studios / Screenlife Games,1,0.65,0.65,0.65,0.65,0.65
Kronos Digital Entertainment,5,0.12,0.72,1.3199999999999998,0.26399999999999996,0.15
Kuju Entertainment,21,0.0,0.44,2.58,0.12285714285714286,0.1
Kung Fu Factory,3,0.08,0.13,0.31,0.10333333333333333,0.1
Kunos Simulazioni,2,0.02,0.08,0.1,0.05,0.05
Kure,1,0.03,0.03,0.03,0.03,0.03
Kush Games,28,0.01,1.48,9.47,0.33821428571428575,0.245
Kuusou Kagaku,3,0.13,0.31,0.73,0.24333333333333332,0.29
Kylotonn,4,0.01,0.17,0.27,0.0675,0.045
Kylotonn Entertainment,14,0.0,0.17,0.74,0.05285714285714286,0.03
LKA,2,0.01,0.03,0.04,0.02,0.02
LSP,2,0.01,0.03,0.04,0.02,0.02
LTI,1,0.31,0.31,0.31,0.31,0.31
LTI Grey Matter,1,0.28,0.28,0.28,0.28,0.28
La'cryma,1,0.02,0.02,0.02,0.02,0.02
Lab Rats Games,3,0.04,0.62,0.72,0.24,0.06
Lab Zero Games,2,0.01,0.02,0.03,0.015,0.015
Laminar Research,2,0.02,0.06,0.08,0.04,0.04
Lancarse,6,0.01,0.13,0.38,0.06333333333333334,0.06
Land Ho!,4,0.0,0.86,1.16,0.29,0.15000000000000002
Larian Studios,10,0.0,0.34,1.07,0.10700000000000001,0.085
Le Cortex,9,0.0,0.75,2.23,0.24777777777777776,0.2
Lead Pursuit,1,0.02,0.02,0.02,0.02,0.02
League of Geeks,1,0.02,0.02,0.02,0.02,0.02
Leaping Lizard Software Inc.,2,0.23,0.65,0.88,0.44,0.44
Left Field Productions,20,0.01,1.0,3.0300000000000002,0.15150000000000002,0.1
Legacy Interactive,9,0.0,0.14,0.44,0.04888888888888889,0.04
Level 5,46,0.0,1.54,16.99,0.3693478260869565,0.24
Level 5 / Armor Project,1,1.15,1.15,1.15,1.15,1.15
Leviathan Games,1,0.07,0.07,0.07,0.07,0.07
Lexis Numerique,6,0.0,0.16,0.37,0.06166666666666667,0.025
Licensed 4U,6,0.0,0.05,0.11,0.018333333333333333,0.01
Light,1,0.02,0.02,0.02,0.02,0.02
Light Weight,4,0.06,1.16,2.03,0.5075,0.405
Light and Shadow Productions,1,0.03,0.03,0.03,0.03,0.03
LightBox Interactive,2,0.02,0.3,0.32,0.16,0.16
LightWeight,2,0.17,0.39,0.56,0.28,0.28
Lightning Fish,8,0.02,0.39,0.9500000000000001,0.11875000000000001,0.08
"Lightweight Co.,Ltd.",1,0.03,0.03,0.03,0.03,0.03
Lince Works,1,0.04,0.04,0.04,0.04,0.04
Lion Game Lion,2,0.03,0.04,0.07,0.035,0.035
Lionhead Studios,8,0.01,5.1,6.38,0.7975,0.19
Liquid Dragon Studios,1,0.05,0.05,0.05,0.05,0.05
Liquid Entertainment,3,0.01,0.15,0.3,0.09999999999999999,0.14
Little Orbit,21,0.0,0.1,0.66,0.03142857142857143,0.03
Little Worlds Studio,1,0.05,0.05,0.05,0.05,0.05
Little Worlds Studio / Anuman Interactive,1,0.72,0.72,0.72,0.72,0.72
"Livesay Technologies, Inc.",1,1.37,1.37,1.37,1.37,1.37
Lizardcube,2,0.04,0.05,0.09,0.045,0.045
Llamasoft,2,0.01,0.01,0.02,0.01,0.01
Lobotomy Software,1,0.03,0.03,0.03,0.03,0.03
Locomotive Games,6,0.05,1.21,2.18,0.36333333333333334,0.1
Locus,1,0.15,0.15,0.15,0.15,0.15
Logic Korea,1,0.01,0.01,0.01,0.01,0.01
London Studios,3,0.08,0.19,0.36,0.12,0.09
Longtail Studios,9,0.02,1.04,1.8,0.2,0.09
Looking Glass Studios,2,0.16,0.27,0.43000000000000005,0.21500000000000002,0.21500000000000002
Loose Cannon Studios,3,0.08,0.1,0.27,0.09000000000000001,0.09
Lose,1,0.01,0.01,0.01,0.01,0.01
Lost Toys,3,0.02,0.18,0.22999999999999998,0.07666666666666666,0.03
Lovedelic,1,0.18,0.18,0.18,0.18,0.18
Lucas Learning,1,0.16,0.16,0.16,0.16,0.16
LucasArts,29,0.0,2.77,19.23,0.6631034482758621,0.26
Lucky Chicken,4,0.01,0.24,0.47,0.1175,0.11
Lucky Chicken Games,3,0.02,0.14,0.27,0.09000000000000001,0.11
Lucky Jump,1,0.01,0.01,0.01,0.01,0.01
Ludia Inc.,14,0.12,0.82,4.34,0.31,0.25
Ludosity AB,1,0.06,0.06,0.06,0.06,0.06
Lump of Sugar,2,0.01,0.02,0.03,0.015,0.015
Lupinus,5,0.0,0.02,0.05,0.01,0.01
Luxoflux,7,0.0,3.27,8.98,1.282857142857143,0.76
Luxoflux Corp.,3,0.0,0.7,1.33,0.44333333333333336,0.63
"Luxoflux, Inc.",8,0.11,1.86,6.0200000000000005,0.7525000000000001,0.515
LvivMedia,3,0.09,0.23,0.52,0.17333333333333334,0.2
M2,5,0.01,0.08,0.19,0.038,0.04
M4 Entertainment,1,0.04,0.04,0.04,0.04,0.04
MAGES,4,0.01,0.02,0.07,0.0175,0.02
MAGES. Inc.,3,0.01,0.03,0.06,0.02,0.02
MASA Group,1,0.21,0.21,0.21,0.21,0.21
MBL Research,2,0.29,0.39,0.6799999999999999,0.33999999999999997,0.33999999999999997
MLB Advanced Media,2,0.07,0.13,0.2,0.1,0.1
MLB.com,6,0.04,0.13,0.42000000000000004,0.07,0.065
MPS Labs,1,0.0,0.0,0.0,0.0,0.0
